participant,graded,image
expert2,2,US.270
expert2,2,US.143
expert2,4,US.015
expert2,6,US.314
expert2,2,US.003
expert2,2,US.004
expert2,3,US.200
expert2,5,US.369
expert2,1,US.272
expert2,1,US.090
expert2,4,US.428
expert2,3,US.212
expert2,3,US.384
expert2,7,US.362
expert2,1,US.233
expert2,5,US.412
expert2,2,US.472
expert2,1,US.463
expert2,2,US.129
expert2,3,US.256
expert2,2,US.259
expert2,1,US.080
expert2,4,US.016
expert2,2,US.239
expert4,1,US.047
expert4,5,US.476
expert4,4,US.287
expert4,1,US.097
expert4,1,US.247
expert4,1,US.080
expert4,1,US.069
expert4,2,US.231
expert4,2,US.436
expert4,6,US.452
expert4,1,US.238
expert4,7,US.348
expert4,5,US.237
expert4,2,US.193
expert4,2,US.208
expert4,1,US.291
expert4,1,US.342
expert4,7,US.160
expert4,5,US.058
expert4,3,US.137
expert4,1,US.211
expert4,3,US.402
expert4,4,US.274
expert4,5,US.051
expert4,3,US.175
expert4,3,US.147
expert4,2,US.223
expert4,3,US.064
expert4,2,US.228
expert4,2,US.079
expert4,4,US.009
expert4,1,US.265
expert4,6,US.511
expert4,5,US.059
expert4,3,US.199
expert4,4,US.307
expert4,3,US.004
expert4,3,US.109
expert4,4,US.493
expert4,3,US.227
expert4,1,US.425
expert4,1,US.131
expert4,6,US.187
expert4,7,US.033
expert4,3,US.154
expert4,2,US.267
expert4,6,US.070
expert4,2,US.399
expert4,1,US.242
expert4,1,US.200
expert4,2,US.313
expert4,7,US.366
expert4,2,US.239
expert4,2,US.233
expert4,3,US.444
expert4,3,US.459
expert4,2,US.259
expert4,2,US.161
expert4,1,US.323
expert4,2,US.167
expert4,1,US.132
expert4,3,US.113
expert4,2,US.121
expert4,3,US.277
expert4,3,US.158
expert4,5,US.016
expert4,5,US.314
expert4,4,US.309
expert4,5,US.427
expert4,7,US.197
expert4,4,US.186
expert4,3,US.065
expert4,2,US.330
expert4,5,US.335
expert4,3,US.310
expert4,3,US.446
expert4,3,US.275
expert4,4,US.392
expert4,5,US.125
expert4,7,US.362
expert4,6,US.345
expert4,4,US.209
expert4,3,US.232
expert4,3,US.504
expert4,1,US.257
expert4,1,US.048
expert4,4,US.449
expert4,4,US.421
expert4,5,US.406
expert4,4,US.413
expert4,1,US.120
expert4,3,US.068
expert4,3,US.270
expert4,2,US.417
expert4,2,US.461
expert4,1,US.370
expert4,5,US.124
expert4,5,US.419
expert4,3,US.220
expert4,5,US.506
expert4,3,US.023
expert4,3,US.389
expert4,5,US.253
expert4,4,US.381
expert4,5,US.075
expert4,3,US.042
expert4,4,US.382
expert4,1,US.463
expert4,7,US.085
expert4,4,US.338
expert4,4,US.368
expert4,3,US.221
expert4,3,US.141
expert4,2,US.093
expert4,4,US.201
expert4,6,US.012
expert4,4,US.408
expert4,3,US.437
expert4,1,US.128
expert4,2,US.087
expert4,1,US.447
expert4,6,US.398
expert4,5,US.110
expert4,6,US.190
expert4,1,US.423
expert4,1,US.100
expert4,1,US.063
expert4,1,US.284
expert4,3,US.322
expert4,1,US.090
expert4,5,US.420
expert4,4,US.288
expert4,3,US.192
expert4,2,US.056
